Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sem,Sexo,Apr
Ingeniería Civil Industrial,5.0,0.0,2.0,40,40.0,90.0,-,0.0,80.0,40.0,0.0,0.0,0.0,100,100.0,100.0,100.0,0.0,0.0,96.0,0.0,0.0,100.0,84,100.0,65.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,99.0,80.0,0.0,100,100.0,100.0,75,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,78.0,100.0,100.0,100.0,100.0,100.0,90,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,6,0.0,2.0,1,1
Ingeniería Civil Industrial,94.0,100.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,80.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,89.0,100.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,90.0,95.0,85,100.0,100.0,100.0,100.0,90.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,84.0,95.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,95.0,90,100.0,100.0,95.0,100.0,90.0,95.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,39.0,55.0,25.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,95.0,100.0,90,0.0,95.0,0.0,100.0,90.0,0.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,85.0,0.0,0.0,0,100.0,100.0,100,100.0,60.0,60.0,100.0,60.0,100.0,0,90.0,100.0,78.0,46.0,100.0,0.0,100.0,95.0,100.0,100,100.0,100.0,95,100.0,100.0,0.0,0.0,95.0,0.0,100,100.0,100.0,100.0,0.0,100.0,0.0,100.0,28.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,75.0,60.0,0.0,100,100.0,100.0,50,100.0,100.0,100.0,83.0,100.0,100.0,46,94.0,79.0,85.0,92.0,97.0,95.0,100.0,95.0,83.0,100,100.0,100.0,95,100.0,100.0,0.0,0.0,0.0,95.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,100.0,70.0,0.0,100,100.0,100.0,100,100.0,60.0,100.0,83.0,40.0,100.0,86,93.0,85.0,86.0,80.0,76.0,72.0,100.0,80.0,98.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,90.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,75.0,75.0,0.0,100,100.0,100.0,100,100.0,80.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,80,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,0.0,0.0,6,0.0,2.0,1,1
Ingeniería Civil Industrial,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,85.0,100.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,50.0,100.0,100.0,77,85.0,94.0,85.0,89.0,90.0,95.0,100.0,99.0,100.0,100,95.0,100.0,80,95.0,100.0,100.0,100.0,100.0,80.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,100.0,100.0,0.0,100,100.0,100.0,100,100.0,100.0,60.0,100.0,100.0,100.0,100,100.0,100.0,0.0,97.0,95.0,95.0,90.91,92.0,100.0,100,100.0,100.0,100,100.0,95.0,100.0,100.0,100.0,75.0,100,100.0,100.0,100.0,100.0,100.0,0.0,100.0,97.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,95.0,100.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,98.0,100.0,87.0,93.0,86.0,96.0,90.91,95.0,100.0,100,90.0,100.0,95,95.0,100.0,100.0,95.0,100.0,80.0,0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,95.0,0.0,0.0,6,0.0,2.0,1,1
Ingeniería Civil Industrial,100.0,90.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,80.0,100.0,95,100.0,100.0,95.0,99.0,100.0,98.0,100.0,100.0,100.0,100,0.0,95.0,95,95.0,100.0,100.0,100.0,0.0,85.0,100,100.0,100.0,64.0,0.0,100.0,0.0,0.0,90.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Química,65.0,100.0,0.0,80,100.0,100.0,100,25.0,0.0,60.0,17.0,0.0,67.0,0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100.0,100.0,25,95.0,0.0,70.0,75.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,12,0.0,2.0,1,1
Ingeniería Civil Plan Común,100.0,65.0,0.0,0,100.0,100.0,0,25.0,60.0,100.0,67.0,20.0,100.0,0,98.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,-,100.0,100.0,95,95.0,40.0,0.0,0.0,100.0,0.0,100,100.0,0.0,100.0,100.0,0.0,0.0,0.0,70.0,0.0,0.0,11,0.0,2.0,0,1
Ingeniería Civil Industrial,75.0,55.0,0.0,100,100.0,100.0,100,100.0,80.0,80.0,100.0,100.0,100.0,100,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,90,100.0,100.0,95,100.0,90.0,100.0,100.0,100.0,100.0,100,100.0,100.0,83.0,100.0,100.0,100.0,100.0,81.0,0.0,0.0,6,0.0,2.0,1,1
Ingeniería Civil Industrial,45.0,0.0,0.0,100,100.0,100.0,25,75.0,0.0,80.0,0.0,40.0,100.0,100,100.0,100.0,100.0,100.0,0.0,98.0,0.0,78.0,100.0,100,100.0,100.0,95,90.0,100.0,0.0,100.0,100.0,0.0,100,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,95.0,95.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,83.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,74.0,100,90.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Ambiental,95.0,80.0,0.0,100,100.0,100.0,100,75.0,60.0,100.0,100.0,80.0,100.0,81,90.0,100.0,100.0,0.0,77.0,85.0,0.0,94.0,85.0,90,100.0,100.0,90,100.0,100.0,0.0,100.0,100.0,90.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,0.0,0.0,2,0.0,2.0,0,1
Ingeniería Civil Industrial,80.0,70.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,80.0,100.0,82,85.0,78.0,86.0,0.0,79.0,81.0,100.0,97.0,69.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,90.0,100,100.0,100.0,100.0,100.0,100.0,100.0,40.0,85.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,90.0,100.0,0.0,80,100.0,100.0,100,100.0,60.0,80.0,100.0,80.0,100.0,86,95.0,100.0,91.0,89.0,89.0,84.0,90.91,56.0,98.0,90,100.0,100.0,100,95.0,100.0,100.0,100.0,100.0,95.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,6,0.0,2.0,1,1
Ingeniería Civil Industrial,100.0,100.0,0.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,6,0.0,2.0,1,1
Ingeniería Civil Industrial,90.0,61.5,0.0,100,100.0,100.0,75,100.0,80.0,100.0,67.0,60.0,100.0,100,100.0,100.0,100.0,100.0,100.0,90.0,100.0,99.0,100.0,90,100.0,100.0,100,100.0,0.0,95.0,30.0,100.0,80.0,0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,78.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería en Diseño de Productos,0.0,0.0,0.0,0,100.0,100.0,0,25.0,40.0,60.0,33.0,0.0,33.0,0,0.0,89.0,0.0,38.0,77.0,0.0,0.0,59.0,0.0,100,100.0,95.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,2.0,1,0
Ingeniería Civil Industrial,85.0,0.0,0.0,100,100.0,30.0,75,0.0,60.0,60.0,83.0,20.0,0.0,66,61.0,61.0,28.0,0.0,47.0,80.0,100.0,66.0,0.0,100,100.0,100.0,90,100.0,100.0,0.0,0.0,0.0,0.0,100,100.0,100.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,40.0,0.0,0.0,100,100.0,100.0,100,75.0,80.0,60.0,50.0,40.0,60.0,100,100.0,78.0,48.0,87.0,0.0,0.0,0.0,77.0,0.0,90,100.0,100.0,30,95.0,0.0,0.0,0.0,0.0,0.0,100,100.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,6,0.0,2.0,0,0
Ingeniería Civil Industrial,90.0,95.0,0.0,100,100.0,100.0,100,50.0,100.0,100.0,100.0,60.0,100.0,100,100.0,100.0,100.0,100.0,100.0,0.0,90.91,97.0,100.0,100,100.0,100.0,95,95.0,45.0,100.0,100.0,100.0,85.0,100,100.0,100.0,100.0,100.0,100.0,0.0,0.0,91.0,0.0,0.0,6,0.0,2.0,0,1
Ingeniería Civil Industrial,85.0,85.0,0.0,100,100.0,100.0,0,100.0,60.0,100.0,100.0,100.0,100.0,95,100.0,100.0,100.0,0.0,0.0,100.0,90.91,100.0,100.0,75,90.0,100.0,90,75.0,95.0,95.0,100.0,100.0,95.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,0.0,0.0,6,0.0,2.0,1,1
