Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sem,Sexo,Apr
Ingeniería en Aviación Comercial,90.0,100.0,0.0,100.0,100.0,100.0,50.0,50.0,60.0,40.0,0.0,20.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,77.0,0.0,0.0,15,2.0,2.0,0,1
Ingeniería Civil Industrial,78.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,65.0,73.0,69.0,52.0,60.0,71.0,100.0,37.0,0.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,90.0,55.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,98.0,98.0,100.0,100.0,100.0,63.64,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,60.0,83.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería en Aviación Comercial,100.0,95.0,0.0,100.0,0.0,100.0,100.0,100.0,60.0,100.0,67.0,80.0,100.0,100.0,100.0,100.0,91.0,93.0,81.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,81.82,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,0.0,15,2.0,2.0,0,1
Ingeniería Civil Industrial,100.0,95.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,67.0,80.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,95.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,69.5,45.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.0,100.0,33.0,100.0,98.0,100.0,94.0,100.0,100.0,100.0,70.0,90.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,71.0,40.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,0.0,0.0,34.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,85.0,90.0,0.0,0.0,60.0,100.0,15.0,65.0,0.0,100.0,0.0,100.0,100.0,69.0,0.0,0.0,0.0,17.0,0.0,0.0,6,2.0,2.0,1,0
Ingeniería en Aviación Comercial,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,40.0,100.0,83.0,60.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,,,,,,,,,,0.0,0.0,68.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,15,2.0,2.0,0,0
Ingeniería Civil Industrial,73.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,90.0,100.0,100.0,80.0,80.0,65.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,28.0,100.0,0.0,78.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,25.0,45.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,0.0,40.0,0.0,0.0,100.0,100.0,100.0,90.0,40.91,0.0,0.0,55.0,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.0,0.0,0.0,6,2.0,2.0,1,0
Ingeniería en Aviación Comercial,100.0,95.0,0.0,100.0,100.0,100.0,100.0,50.0,60.0,100.0,33.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.27,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,0.0,0.0,15,2.0,2.0,0,1
Ingeniería Civil Industrial,80.0,65.0,0.0,100.0,0.0,100.0,100.0,75.0,0.0,100.0,83.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,90.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,6,2.0,2.0,0,1
