,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
27,Ingeniería Civil Plan Común,1,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4.0,4,4,4.0,4,4,4,4,4,4,4,4,65,11,1,2,1,1
28,Ingeniería Civil Plan Común,4,0,0,4,4,4,1,3,1,1,0,0,0,4,4,0,4,4,0,0,0,0,4,4,4,4,0,4,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,44,11,1,2,0,0
29,Ingeniería Civil Metalúrgica,4,2,0,0,4,4,3,4,0,4,4,0,0,4,4,0,4,4,4,0,4,4,4,4,4,0,4,0,4,4.0,4,4,0.0,4,4,4,0,4,4,4,4,63,10,1,2,1,1
30,Ingeniería Civil Eléctrica,4,1,0,4,4,4,1,4,3,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,3.0,4,0,4.0,4,4,4,4,0,4,4,4,74,4,1,2,0,1
31,Ingeniería Civil Eléctrica,4,4,0,4,1,4,4,4,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,0,4,4,4,4,4,4,91,4,1,2,0,1
32,Ingeniería Civil Metalúrgica,4,2,0,4,3,2,3,4,3,4,4,3,3,4,0,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,0,4,4,4,4,4,70,10,1,2,1,1
33,Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,0,4,91,7,1,2,0,1
34,Ingeniería Civil Plan Común,4,4,0,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,93,11,2,2,0,1
35,Ingeniería Civil Plan Común,3,4,0,4,3,4,4,0,3,1,2,0,3,4,4,0,4,0,0,0,0,0,0,4,4,4,4,4,4,1.0,0,4,1.0,0,0,4,0,0,0,0,0,61,11,1,2,0,1
36,Ingeniería Civil Informática,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,97,7,1,2,0,1
37,Ingeniería Civil Eléctrica,4,4,0,4,4,4,3,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4.0,4,0,4.0,4,4,4,4,4,4,4,4,94,4,1,2,0,1
38,Ingeniería Civil Plan Común,2,2,4,4,0,4,3,0,1,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,4,2,0,4,4,4.0,1,4,2.0,4,0,0,4,4,0,4,4,59,11,1,2,0,1
39,Ingeniería Civil Plan Común,1,0,0,4,4,4,1,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0.0,4,4,0.0,4,0,0,0,4,4,0,0,13,11,1,2,1,0
40,Ingeniería Civil Plan Común,1,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.0,1,0,1.0,4,4,4,4,4,4,4,4,71,11,1,2,0,1
41,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,99,10,1,2,1,1
42,Ingeniería Civil Metalúrgica,4,4,0,0,4,4,4,1,3,0,0,4,1,4,4,4,3,0,4,0,4,4,4,4,4,4,4,0,4,1.0,4,4,0.0,4,4,0,4,4,4,4,4,76,10,1,2,0,1
