,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
117,Ingeniería Civil Metalúrgica,2,4,0,0,1,2,3,4,1,4,4,4,3,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,3.0,0,4,4.0,4,0,0,4,0,4,0,4,71,10,1,2,1,1
118,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,1.0,4,4,4,4,4,4,4,4,90,11,0,2,0,1
119,Ingeniería Civil Metalúrgica,4,1,0,4,4,4,1,4,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,3.0,4,4,4,4,4,4,4,4,75,10,1,2,0,1
120,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,97,11,1,2,0,1
121,Ingeniería Civil Plan Común,2,0,2,0,4,4,0,4,4,1,2,4,4,4,0,4,3,0,3,0,0,0,0,4,4,1,4,0,0,0.0,4,0,1.0,0,4,0,4,0,4,0,0,26,11,1,2,0,0
122,Ingeniería Civil Metalúrgica,4,4,0,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,2,4,4,0,4,4.0,4,4,0.0,0,4,4,4,0,0,4,4,81,10,1,2,0,1
123,Ingeniería Civil Eléctrica,4,4,0,0,4,4,0,4,4,4,4,4,3,4,0,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,87,4,1,2,0,1
124,Ingeniería Civil Eléctrica,1,0,0,4,3,4,1,0,1,4,4,3,3,4,4,4,4,4,0,4,0,4,4,4,4,0,4,1,4,0.0,0,0,0.0,4,4,4,4,4,4,4,4,18,4,1,2,0,0
125,Ingeniería Civil Eléctrica,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,97,4,1,2,0,1
126,Ingeniería Civil Metalúrgica,2,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4.0,0,2,0.0,4,4,4,4,4,4,4,4,65,10,1,2,1,1
127,Ingeniería Civil Plan Común,4,4,0,4,4,4,3,4,4,4,4,4,3,4,4,0,0,4,4,0,0,0,0,4,4,4,4,4,4,4.0,4,4,4.0,0,4,4,0,0,4,0,4,85,11,1,2,0,1
128,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0.0,4,4,4.0,4,4,4,4,4,4,4,0,77,11,1,2,0,1
130,Ingeniería Civil Eléctrica,1,0,0,4,4,0,1,0,1,1,4,1,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,0,0,0.0,0,0,0.0,4,4,0,4,4,0,0,4,14,4,1,2,0,0
131,Ingeniería Civil Metalúrgica,4,4,0,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,4.0,4,4,4.0,4,4,4,4,4,4,4,4,90,10,1,2,1,1
132,Ingeniería Civil Plan Común,4,2,0,4,3,4,4,3,0,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,0,4,0.0,4,0,0,4,0,0,0,0,69,11,1,2,0,1
133,Ingeniería Civil Metalúrgica,4,4,0,4,0,4,0,4,3,4,4,3,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,0,0,0,0,81,10,1,2,0,1
134,Ingeniería Civil Plan Común,2,0,4,4,4,4,1,4,3,4,0,1,3,4,4,4,4,0,4,4,0,4,4,4,4,0,0,0,0,4.0,1,3,2.0,0,4,4,4,4,0,4,0,55,11,1,2,0,1
135,Ingeniería Civil Plan Común,4,4,0,4,3,4,3,4,0,4,2,4,3,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,4,0.0,0,3,1.0,0,0,0,0,0,0,0,0,62,11,1,2,0,1
136,Ingeniería Civil Plan Común,1,2,4,4,4,4,1,4,1,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,0,0,0.0,4,0,4,4,4,4,4,4,63,11,1,2,1,1
138,Ingeniería Civil Eléctrica,1,1,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,0,4,4,0,1,4,1,4,4,0,4.0,0,0,4.0,4,4,4,4,4,4,0,4,67,4,1,2,0,1
139,Ingeniería Civil Plan Común,4,1,0,4,4,4,3,4,1,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2.0,1,1,1.0,4,4,4,4,4,4,4,4,65,11,2,2,0,1
140,Ingeniería Civil Informática,4,2,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,81,7,1,2,1,1
141,Ingeniería Civil Plan Común,4,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,2.0,0,0,0.0,4,0,4,4,4,4,4,4,40,11,1,2,0,0
142,Ingeniería Civil Metalúrgica,2,1,2,0,4,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,4.0,1,4,1.0,4,4,4,4,4,4,0,4,53,10,1,2,0,0
143,Ingeniería Civil Plan Común,4,4,0,4,1,4,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,3,4,4.0,4,4,4,4,4,4,4,4,83,11,1,2,0,1
144,Ingeniería Civil Metalúrgica,4,1,0,0,4,4,3,4,1,4,4,4,4,4,0,4,0,4,0,0,4,0,4,4,4,4,4,0,4,4.0,0,4,4.0,0,0,4,4,4,4,4,0,67,10,1,2,0,1
148,Ingeniería Civil Plan Común,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,2,4,1.0,4,4,4,4,4,4,4,4,87,11,2,2,0,1
149,Ingeniería Civil Plan Común,4,4,0,0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,93,11,2,2,1,1
150,Ingeniería Civil Metalúrgica,3,4,0,0,4,4,4,4,4,4,4,4,1,4,4,4,0,0,4,0,4,4,4,4,4,4,4,4,4,4.0,4,4,1.0,4,4,4,4,4,4,4,4,79,10,1,2,1,1
151,Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,0,0,4,0,4,0,4,4,0,0,4,4,4,4,4,4,4,4,0.0,4,3,4.0,4,4,4,4,4,4,4,4,90,7,1,2,0,1
152,Ingeniería Civil Plan Común,4,1,0,4,3,2,3,0,0,0,0,4,0,4,4,0,4,0,0,0,0,4,0,4,4,4,4,1,4,0.0,4,4,4.0,0,0,4,0,4,4,4,4,64,11,1,2,0,1
153,Ingeniería Civil Plan Común,0,4,0,4,3,4,4,1,3,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,0,4,33,11,2,2,0,0
154,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,89,10,1,2,1,1
155,Ingeniería Civil Plan Común,4,2,0,4,3,4,0,4,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0,0,0,0.0,4,4,4,4,4,4,4,4,67,11,2,2,0,1
156,Ingeniería Civil Eléctrica,1,2,0,4,4,4,3,4,0,4,1,1,3,0,0,0,4,0,4,4,0,0,4,4,4,4,4,0,0,0.0,0,0,0.0,0,0,4,4,4,0,4,0,21,4,1,2,0,0
157,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,0,0,4,4,0,0,4,0,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4.0,4,4,4.0,4,4,4,0,0,4,4,0,78,10,1,2,1,1
158,Ingeniería Civil Eléctrica,4,3,0,4,3,4,4,4,1,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4.0,4,4,4.0,4,0,4,4,4,4,4,4,85,4,1,2,1,1
159,Ingeniería Civil Eléctrica,4,1,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4.0,0,0,0.0,4,4,4,4,4,4,4,0,72,4,1,2,0,1
160,Ingeniería Civil Plan Común,4,4,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,4,4,0,4,0.0,4,4,0.0,0,0,0,4,4,0,0,4,75,11,1,2,0,1
161,Ingeniería Civil Eléctrica,2,0,0,4,4,4,4,0,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,4,4,0,4,0,0,0.0,0,0,0.0,0,0,4,4,4,4,0,4,25,4,1,2,0,0
162,Ingeniería Civil Plan Común,4,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4.0,3,0,1.0,0,0,0,0,0,0,0,0,43,11,1,2,0,0
163,Ingeniería Civil Informática,4,3,0,4,4,4,1,4,3,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,3.0,4,4,4,4,4,4,4,4,83,7,1,2,0,1
164,Ingeniería Civil Eléctrica,4,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,79,4,1,2,0,1
165,Ingeniería Civil Plan Común,4,4,0,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,3,4,3.0,4,4,4.0,4,4,4,4,4,4,4,4,86,11,1,2,0,1
166,Ingeniería Civil Plan Común,3,1,3,4,4,2,3,4,3,4,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0,2,2,0.0,4,4,4,4,4,4,4,4,69,11,1,2,0,1
167,Ingeniería Civil Plan Común,1,1,1,4,1,4,4,4,1,0,4,3,0,4,4,0,0,0,0,0,0,0,0,4,4,3,0,4,4,0.0,0,4,0.0,0,0,0,0,0,0,0,0,28,11,1,2,0,0
168,Ingeniería Civil Plan Común,4,2,0,4,4,0,4,3,3,4,4,4,4,4,0,4,0,4,4,0,4,4,4,4,4,4,4,4,4,1.0,4,4,0.0,4,4,4,4,4,4,4,4,74,11,1,2,0,1
169,Ingeniería Civil Metalúrgica,4,4,0,4,1,4,4,4,4,4,4,3,1,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,3.0,4,4,4.0,4,4,4,4,4,0,4,4,70,10,1,2,0,1
170,Ingeniería Civil Plan Común,4,4,0,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,98,11,1,2,0,1
171,Ingeniería Civil Plan Común,4,4,0,4,4,4,1,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,4,1,0.0,4,4,4,4,4,4,4,4,87,11,1,2,0,1
172,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,98,10,1,2,1,1
173,Ingeniería Civil Plan Común,4,1,0,4,3,4,4,4,0,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,0,2,0.0,4,0,0.0,4,4,4,4,4,0,4,4,60,11,1,2,1,1
174,Ingeniería Civil Plan Común,1,2,4,4,4,0,1,4,3,0,4,1,4,4,4,0,4,4,4,4,4,4,4,4,4,1,4,1,2,0.0,1,1,0.0,4,4,4,4,4,4,4,4,66,11,1,2,1,1
175,Ingeniería Civil Informática,4,2,0,4,4,4,4,4,3,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,79,7,1,2,1,1
176,Ingeniería Civil Informática,4,4,0,0,4,4,4,4,0,0,4,0,0,0,4,4,4,4,4,4,0,0,0,0,4,0,4,4,4,0.0,0,4,4.0,0,0,0,0,0,0,0,0,74,7,1,2,0,1
177,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0.0,4,4,1.0,4,4,4,4,4,4,4,4,88,11,1,2,0,1
178,Ingeniería Civil Plan Común,4,4,0,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,96,11,1,2,1,1
179,Ingeniería Civil Metalúrgica,4,3,0,0,4,4,4,4,1,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,4.0,4,4,2.0,4,4,4,4,4,4,4,4,78,10,1,2,0,1
180,Ingeniería Civil Metalúrgica,4,4,0,0,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,4.0,2,0,2.0,4,4,4,4,4,4,4,4,78,10,1,2,1,1
181,Ingeniería Civil Eléctrica,4,0,0,0,4,4,4,4,3,1,0,0,0,4,0,4,4,0,4,0,0,0,0,4,4,4,4,0,0,0.0,0,0,0.0,4,0,4,4,4,0,0,0,38,4,1,2,0,0
182,Ingeniería Civil Plan Común,1,4,0,4,4,4,4,4,0,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0.0,0,0,0.0,0,0,4,0,0,0,0,4,38,11,1,2,1,0
183,Ingeniería Civil Metalúrgica,4,3,0,4,3,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4.0,2,1,0.0,4,4,4,4,4,4,4,4,83,10,1,2,1,1
184,Ingeniería Civil Metalúrgica,4,4,0,0,0,4,0,3,1,4,4,0,1,4,0,4,0,0,0,0,4,0,0,4,4,4,4,4,0,4.0,0,4,4.0,0,0,0,0,0,0,0,0,68,10,1,2,0,1
185,Ingeniería Civil Plan Común,4,4,0,0,4,4,3,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,91,11,1,2,0,1
186,Ingeniería Civil Eléctrica,1,0,1,0,4,4,4,4,3,3,2,3,3,4,4,0,0,4,4,0,0,4,0,4,4,4,4,0,0,0.0,0,3,0.0,0,0,0,4,4,0,0,0,45,4,1,2,0,0
187,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,3,4,1,4,4,3,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4.0,4,4,3.0,4,4,4,4,4,4,4,4,90,10,1,2,1,1
188,Ingeniería Civil Plan Común,4,1,0,4,3,4,1,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0,2,4,0.0,4,4,4,4,4,4,4,4,51,11,1,2,0,0
189,Ingeniería Civil Metalúrgica,4,3,0,4,3,4,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,83,10,1,2,0,1
190,Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,99,7,1,2,0,1
191,Ingeniería Civil Metalúrgica,4,4,0,4,4,3,4,4,3,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,3,3.0,4,1,1.0,0,0,0,0,0,0,0,0,82,10,1,2,0,1
192,Ingeniería Civil Informática,4,4,0,4,0,3,4,0,3,4,0,0,4,4,0,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4.0,4,4,0.0,4,4,0,4,4,0,4,4,85,7,1,2,0,1
193,Ingeniería Civil Plan Común,4,1,0,4,4,4,1,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,76,11,1,2,0,1
194,Ingeniería Civil Plan Común,2,1,4,0,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,2,4,2.0,0,0,0.0,4,4,4,4,4,4,4,4,74,11,1,2,0,1
195,Ingeniería Civil Plan Común,2,1,1,0,3,4,1,0,1,4,4,0,3,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4.0,4,4,3.0,4,4,4,4,4,4,4,4,37,11,2,2,0,0
196,Ingeniería Civil Metalúrgica,4,2,0,0,4,2,3,1,3,4,4,4,3,4,4,0,0,0,4,0,0,4,4,4,4,4,4,4,4,3.0,4,2,1.0,4,0,4,0,0,0,0,0,63,10,1,2,0,1
197,Ingeniería Civil Metalúrgica,4,4,0,0,0,4,0,4,4,4,0,0,0,0,0,4,0,0,0,3,4,0,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,0,4,72,10,1,2,0,1
198,Ingeniería Civil Plan Común,4,2,0,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,1.0,4,4,4.0,4,4,4,4,4,4,4,4,74,11,0,2,1,1
199,Ingeniería Civil Informática,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,99,7,1,2,0,1
200,Ingeniería Civil Plan Común,2,4,2,4,1,4,1,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,43,11,1,2,0,0
201,Ingeniería Civil Metalúrgica,4,0,0,0,3,4,0,4,1,1,4,0,0,4,0,4,0,4,4,0,4,0,4,4,4,4,0,0,0,4.0,4,4,0.0,0,0,4,0,0,0,0,0,42,10,1,2,0,0
202,Ingeniería Civil Plan Común,4,1,0,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,2.0,4,0,4.0,4,4,0,4,4,4,4,4,47,11,1,2,0,0
203,Ingeniería Civil Eléctrica,3,0,0,4,1,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,0,4,4,4,4,0,4,0.0,0,0,0.0,4,4,4,0,0,4,4,4,30,4,1,2,0,0
204,Ingeniería Civil Eléctrica,1,0,0,0,4,4,3,4,3,4,0,4,4,4,0,4,4,4,4,0,4,4,0,4,4,4,4,0,1,0.0,4,0,0.0,4,0,0,4,4,4,4,0,10,4,1,2,0,0
205,Ingeniería Civil Metalúrgica,1,4,0,4,3,4,1,4,1,4,2,4,1,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,0,4,4,4,0,4,4,4,74,10,1,2,0,1
206,Ingeniería Civil Plan Común,3,1,2,4,4,4,4,4,3,4,4,3,3,4,0,4,0,4,4,4,4,3,0,4,4,0,4,4,4,1.0,3,0,4.0,4,4,4,4,4,4,4,4,60,11,1,2,0,1
207,Ingeniería Civil Plan Común,4,4,0,4,4,4,3,4,4,1,4,4,4,4,4,4,0,4,3,4,4,3,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,90,11,1,2,0,1
208,Ingeniería Civil Matemática,4,1,0,4,4,4,4,4,1,4,4,4,0,4,0,4,0,4,4,4,4,4,0,4,4,0,0,0,0,0.0,0,0,0.0,4,4,4,4,4,4,0,0,55,8,1,2,0,1
209,Ingeniería Civil Eléctrica,4,3,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,3,4.0,3,1,4.0,4,4,4,4,0,4,0,4,77,4,1,2,0,1
210,Ingeniería Civil Plan Común,2,1,1,4,1,4,1,4,0,1,0,3,3,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4.0,0,4,3.0,0,4,0,0,4,4,4,4,39,11,1,2,1,0
211,Ingeniería Civil Eléctrica,4,0,0,4,4,4,4,0,1,4,2,1,1,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,39,4,1,2,0,0
212,Ingeniería Civil Plan Común,1,0,0,4,4,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,2,4,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,10,11,1,2,0,0
215,Ingeniería Civil Informática,4,4,0,4,4,4,3,4,0,4,2,4,1,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,2.0,4,4,2.0,4,4,4,4,4,4,4,4,89,7,1,2,0,1
216,Ingeniería Civil Plan Común,4,3,0,0,3,4,0,4,1,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,0,4,4,4,0,4.0,4,4,4.0,4,0,4,4,4,4,4,4,73,11,1,2,0,1
217,Ingeniería Civil Plan Común,1,0,0,0,0,4,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,2,4,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,50,11,1,2,0,0
218,Ingeniería Civil Plan Común,4,4,0,4,1,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,92,11,1,2,0,1
219,Ingeniería Civil Plan Común,2,4,0,4,4,4,4,4,3,4,4,3,1,4,4,4,0,4,4,4,4,4,4,4,4,2,4,4,1,4.0,4,4,4.0,4,4,4,4,4,4,4,4,75,11,1,2,0,1
220,Ingeniería Civil Plan Común,4,4,0,4,4,4,1,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,2,4,1.0,4,4,4,4,4,4,4,4,81,11,2,2,0,1
221,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,1.0,4,4,2.0,4,4,4,4,4,4,4,4,90,10,1,2,0,1
222,Ingeniería Civil Eléctrica,4,1,1,4,0,4,3,4,1,4,4,0,4,4,0,4,3,4,4,0,4,0,4,4,4,4,4,4,4,4.0,0,4,0.0,0,4,4,4,4,0,4,4,66,4,1,2,0,1
223,Ingeniería Civil Plan Común,1,1,1,0,3,4,3,0,0,4,4,4,4,0,4,0,0,0,2,4,0,4,4,4,4,4,4,0,0,0.0,1,1,1.0,0,4,4,4,4,0,4,4,39,11,1,2,0,0
224,Ingeniería Civil Plan Común,4,1,0,4,4,4,1,0,4,0,4,4,4,4,0,0,4,0,4,0,0,0,0,4,4,4,4,4,3,4.0,0,0,0.0,4,0,0,0,4,0,4,4,35,11,1,2,0,0
225,Ingeniería Civil Eléctrica,1,2,0,4,1,4,4,4,4,3,4,4,4,4,4,4,0,4,0,0,0,0,0,4,4,4,4,0,0,2.0,0,0,0.0,0,4,4,0,0,0,4,0,20,4,1,2,0,0
226,Ingeniería Civil Plan Común,1,2,0,4,4,4,3,4,1,4,4,4,4,4,4,0,4,0,4,0,0,0,4,4,4,3,4,0,4,1.0,1,4,0.0,0,0,0,0,0,0,0,0,38,11,1,2,0,0
227,Ingeniería Civil Plan Común,1,0,0,0,4,0,0,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0.0,0,0,0.0,0,0,0,0,0,0,0,0,22,11,1,2,0,0
228,Ingeniería Civil Plan Común,1,4,0,0,4,4,4,3,4,3,0,4,4,0,4,0,3,0,0,0,0,0,0,4,4,3,4,4,4,0.0,4,3,4.0,0,0,0,4,0,4,0,4,66,11,1,2,0,1
229,Ingeniería Civil Eléctrica,1,0,0,4,3,4,4,1,1,4,4,0,4,4,4,4,1,0,4,0,0,0,0,4,4,4,4,0,1,0.0,3,1,0.0,0,0,4,0,0,4,4,0,20,4,1,2,0,0
230,Ingeniería Civil Plan Común,4,1,0,4,1,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,3.0,4,4,4,4,4,4,4,4,80,11,2,2,1,1
231,Ingeniería Civil Plan Común,4,1,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,3.0,4,4,4,4,4,4,4,4,76,11,1,2,1,1
232,Ingeniería Civil Metalúrgica,4,1,0,4,3,4,0,4,1,4,4,1,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,1,4,2.0,4,4,1.0,4,4,4,4,4,4,4,4,53,10,1,2,1,0
233,Ingeniería Civil Plan Común,4,3,0,4,4,4,1,4,1,4,1,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,1,4,0.0,0,0,0.0,0,4,4,4,4,4,4,4,71,11,1,2,0,1
234,Ingeniería Civil Metalúrgica,1,1,0,4,3,2,3,4,3,1,0,1,0,0,4,4,4,0,4,0,0,4,4,4,4,4,4,4,4,4.0,4,0,0.0,0,0,0,4,0,4,0,0,34,10,1,2,1,0
235,Ingeniería Civil Plan Común,1,0,0,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4,4,0,4,4,4,1,2,1,1,0.0,0,0,0.0,4,4,4,4,4,4,4,0,14,11,1,2,0,0
236,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,4,4,4,4,4,3,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4.0,4,4,4.0,0,0,0,4,4,4,4,4,92,4,1,2,1,1
237,Ingeniería Civil Eléctrica,4,4,0,0,3,4,4,4,4,4,4,4,4,4,0,4,4,0,0,0,4,0,0,4,4,0,4,4,0,4.0,4,4,0.0,4,0,0,4,0,0,4,4,85,4,1,2,0,1
238,Ingeniería Civil Eléctrica,3,0,1,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,1,0,4,1.0,0,2,0.0,4,4,4,4,4,4,4,4,43,4,1,2,1,0
239,Ingeniería Civil Plan Común,4,4,0,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3.0,4,4,4.0,4,4,4,4,4,4,4,4,94,11,1,2,0,1
240,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,88,10,1,2,0,1
241,Ingeniería Civil Plan Común,4,3,0,4,4,4,3,4,1,4,4,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4.0,4,4,0.0,4,4,4,4,4,4,4,0,71,11,1,2,1,1
242,Ingeniería Civil Plan Común,4,1,0,0,4,4,4,3,3,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,76,11,1,2,0,1
