,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
301,Ingeniería Civil Plan Común,28,35,55,100,100,100,100,100,20,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,95,90,100,80,80,15.0,30,65,0.0,100,100,100,100,100,100,0,100,45,11,1,2,1,0
303,Ingeniería Civil Plan Común,83,85,0,100,100,100,80,100,80,100,50,100,100,95,0,94,50,0,100,76,88,8,93,100,92,85,100,95,80,100.0,80,90,85.0,100,100,100,100,100,100,100,100,86,11,1,2,1,1
304,Ingeniería Civil Plan Común,18,0,0,100,60,100,80,80,40,100,0,80,60,0,0,0,97,0,0,0,0,0,0,0,100,100,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,9,11,1,2,0,0
305,Ingeniería Civil Plan Común,90,40,0,100,60,100,40,80,20,100,100,60,100,100,100,100,100,100,100,100,100,100,100,87,100,100,87,100,90,100.0,100,85,100.0,100,100,100,100,100,100,100,100,78,11,1,2,1,1
306,Ingeniería Civil Eléctrica,38,0,0,100,100,100,40,40,40,60,75,100,100,92,100,100,82,94,100,62,100,0,100,90,90,0,100,100,95,35.0,17,100,0.0,100,100,100,100,100,100,100,0,19,4,1,2,0,0
307,Ingeniería Civil Plan Común,37,55,50,100,100,100,20,100,0,80,100,60,100,100,0,95,100,100,100,100,0,100,100,100,100,95,100,100,50,75.0,45,40,25.0,0,0,100,0,0,0,0,0,53,11,1,2,0,0
308,Ingeniería Civil Plan Común,63,35,40,100,100,100,100,0,40,20,100,40,20,100,100,100,100,0,0,0,0,0,0,95,100,100,0,0,0,0.0,0,25,0.0,0,0,0,100,0,0,100,0,52,11,1,2,1,0
309,Ingeniería Civil Metalúrgica,100,55,0,100,100,100,100,100,60,80,100,60,100,100,100,100,100,100,100,0,100,100,100,90,100,90,100,100,80,95.0,100,100,45.0,100,100,100,100,100,100,100,100,85,10,1,2,1,1
310,Ingeniería Civil Metalúrgica,73,85,0,100,60,100,100,60,40,100,100,80,60,100,0,100,0,100,100,76,100,100,100,100,100,100,100,100,100,92.0,100,92,100.0,100,100,100,100,100,100,100,100,84,10,1,2,1,1
311,Ingeniería Civil Plan Común,100,70,0,0,100,100,60,100,100,100,100,0,100,100,100,100,100,100,100,80,100,100,100,92,100,100,100,100,100,57.0,75,100,87.0,100,100,100,100,100,100,100,100,86,11,1,2,1,1
312,Ingeniería Civil Plan Común,86,95,0,100,100,100,60,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,94,11,1,2,0,1
313,Ingeniería Civil Eléctrica,45,0,40,100,100,100,60,100,80,100,75,60,100,100,98,100,65,100,100,98,0,0,100,95,100,65,100,85,30,35.0,80,77,0.0,100,100,100,100,0,100,100,100,43,4,1,2,0,0
314,Ingeniería Civil Metalúrgica,51,0,0,100,100,100,0,100,80,100,100,100,100,100,0,100,100,100,100,0,100,0,100,92,100,100,77,40,30,25.0,72,57,75.0,100,100,100,100,100,100,100,100,26,10,0,2,0,0
315,Ingeniería Civil Plan Común,96,40,25,100,100,50,60,100,60,100,25,40,100,100,0,100,100,0,100,0,100,100,0,79,95,90,80,100,10,65.0,80,90,74.0,100,100,100,100,100,0,100,100,68,11,1,2,0,1
316,Ingeniería Civil Metalúrgica,95,100,0,100,100,100,60,100,40,100,100,60,20,0,0,100,0,99,0,100,100,100,0,87,100,100,90,100,0,100.0,100,80,92.0,0,0,100,0,0,0,100,100,77,10,1,2,0,1
317,Ingeniería Civil Plan Común,100,100,0,0,100,100,80,100,60,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,97,11,1,2,1,1
318,Ingeniería Civil Metalúrgica,100,0,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,83,10,1,2,0,1
319,Ingeniería Civil Plan Común,82,35,0,100,100,63,60,80,60,100,50,60,100,100,0,100,100,0,88,0,0,0,0,87,95,80,84,0,0,20.0,35,0,0.0,0,100,0,100,0,0,0,0,56,11,1,2,0,1
320,Ingeniería Civil Eléctrica,87,25,0,100,100,100,100,100,100,100,50,100,100,100,100,0,100,100,100,100,13,100,100,95,100,100,100,0,0,85.0,0,0,0.0,100,100,100,100,100,100,100,100,66,4,1,2,0,1
321,Ingeniería Civil Plan Común,95,50,0,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,95,100,95.0,70,0,77.0,100,100,100,100,100,100,100,100,73,11,1,2,0,1
322,Ingeniería Civil Plan Común,45,0,0,100,100,100,100,100,80,100,100,100,0,100,100,100,100,100,100,0,0,98,100,100,100,90,0,0,0,0.0,0,0,0.0,100,100,100,100,100,100,100,100,23,11,1,2,0,0
323,Ingeniería Civil Metalúrgica,87,40,0,0,100,100,80,100,20,100,100,100,100,100,100,100,100,100,100,0,0,98,0,100,90,100,100,100,100,100.0,100,0,77.0,0,0,0,0,0,0,0,0,69,10,1,2,0,1
324,Ingeniería Civil Plan Común,63,35,46,100,100,100,80,100,80,100,75,80,100,0,100,100,0,100,100,0,100,77,100,100,100,100,95,90,100,57.0,0,0,92.0,0,100,100,100,100,0,100,100,60,11,1,2,0,1
325,Ingeniería Civil Informática,92,0,0,100,100,100,100,100,60,100,75,0,0,0,100,0,0,0,0,0,100,0,0,95,0,100,92,0,90,65.0,0,0,0.0,0,100,100,0,0,100,0,100,46,7,1,2,0,0
326,Ingeniería Civil Metalúrgica,93,45,0,100,100,100,80,100,20,100,0,100,100,100,100,100,92,100,100,98,98,98,99,95,100,45,76,100,10,72.0,100,100,35.0,100,0,100,100,100,100,0,100,74,10,1,2,0,1
327,Ingeniería Civil Plan Común,87,35,0,100,100,63,80,100,60,100,75,100,100,0,0,100,100,0,98,0,100,83,0,95,100,90,100,0,10,70.0,52,100,35.0,0,0,0,100,100,0,0,0,65,11,1,2,0,1
328,Ingeniería Civil Metalúrgica,100,30,0,100,100,50,80,100,40,0,100,80,0,100,100,100,0,0,0,0,0,0,100,100,100,100,100,100,80,65.0,0,100,0.0,0,0,100,100,100,100,100,0,66,10,1,2,0,1
329,Ingeniería Civil Metalúrgica,100,30,95,100,100,100,100,100,40,100,100,80,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,0.0,100,100,100,100,100,100,100,100,95,10,1,2,0,1
330,Ingeniería Civil Plan Común,69,85,0,100,100,100,60,100,40,80,0,100,100,100,98,100,100,90,0,92,88,95,0,66,95,85,80,100,100,60.0,100,92,75.0,100,100,100,100,100,100,100,100,80,11,1,2,0,1
332,Ingeniería Civil Plan Común,43,80,90,100,20,100,100,80,100,0,0,80,100,86,0,58,64,0,0,0,0,98,100,95,100,80,84,0,0,15.0,10,0,100.0,0,0,0,0,0,0,0,0,63,11,1,2,0,1
333,Ingeniería Civil Matemática,95,85,0,100,100,50,80,100,80,100,75,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,92,100,0,100.0,80,100,100.0,100,100,100,100,100,100,100,100,80,8,1,2,1,1
334,Ingeniería Civil Plan Común,16,20,0,100,100,100,100,100,0,100,50,60,60,90,84,0,0,0,0,0,50,0,88,90,92,90,100,0,80,70.0,0,55,0.0,100,100,0,0,100,100,100,0,18,11,1,2,0,0
335,Ingeniería Civil Plan Común,85,30,0,100,100,100,80,100,40,100,100,100,100,91,0,0,84,0,0,0,0,91,0,87,72,35,65,0,100,70.0,100,65,20.0,0,100,100,100,100,100,100,100,59,11,1,2,0,1
336,Ingeniería Civil Plan Común,87,50,0,100,100,100,100,100,40,80,75,80,100,0,0,100,100,100,100,100,100,95,95,100,90,90,92,100,90,0.0,0,0,0.0,0,0,0,0,0,0,0,0,44,11,1,2,0,0
337,Ingeniería Civil Eléctrica,25,50,25,100,100,100,100,100,60,100,0,80,100,100,0,100,0,100,95,0,0,0,0,92,100,0,100,0,0,100.0,0,0,0.0,100,100,100,0,100,100,100,100,38,4,1,2,0,0
339,Ingeniería Civil Informática,98,85,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100.0,100,65,100.0,100,100,100,0,100,100,100,100,93,7,1,2,0,1
340,Ingeniería Civil Metalúrgica,100,0,0,0,100,100,100,100,60,80,100,60,100,100,0,100,100,100,100,94,100,100,0,92,100,100,100,100,100,100.0,100,0,0.0,100,100,100,100,0,100,100,100,50,10,1,2,0,0
341,Ingeniería Civil Metalúrgica,100,100,0,0,60,100,80,80,20,100,100,40,20,0,85,95,70,79,89,74,83,0,0,74,100,40,100,0,100,0.0,0,100,0.0,100,0,100,0,100,100,100,0,78,10,1,2,0,1
342,Ingeniería Civil Eléctrica,20,60,55,100,100,100,80,80,80,40,50,60,0,100,0,95,100,100,100,0,100,0,0,100,100,100,100,0,100,100.0,100,0,0.0,100,100,100,100,100,100,100,100,65,4,1,2,0,1
343,Ingeniería Civil Plan Común,100,95,0,0,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,90,100,92.0,100,100,100,100,100,100,100,100,96,11,2,2,0,1
344,Ingeniería Civil Plan Común,35,75,0,100,60,100,60,100,40,100,25,40,20,100,100,0,100,100,100,0,100,100,0,100,90,100,100,85,100,95.0,0,100,0.0,100,100,100,100,100,100,100,100,64,11,1,2,0,1
345,Ingeniería Civil Plan Común,91,100,0,100,100,100,80,100,100,80,100,60,100,100,100,100,0,100,100,100,100,100,100,92,95,80,95,100,100,92.0,100,100,92.0,100,100,100,100,100,100,100,100,95,11,2,2,0,1
347,Ingeniería Civil Plan Común,85,100,0,100,100,63,40,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,93,11,1,2,0,1
348,Ingeniería Civil Metalúrgica,87,40,0,0,40,100,40,80,40,100,75,0,60,0,0,0,0,0,0,0,0,0,0,100,100,90,100,0,60,0.0,0,32,0.0,0,0,0,0,0,0,0,0,52,10,1,2,0,0
349,Ingeniería Civil Plan Común,100,50,0,100,100,100,100,100,60,100,100,80,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,75.0,80,100,100.0,100,100,100,100,100,100,100,100,85,11,2,2,0,1
350,Ingeniería Civil Informática,100,100,0,100,100,100,100,100,100,100,100,100,100,100,82,100,100,99,0,95,100,0,100,95,100,80,100,100,100,100.0,100,100,95.0,100,100,100,0,100,100,0,0,96,7,1,2,0,1
351,Ingeniería Civil Eléctrica,53,20,95,100,100,100,80,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82,100,0,100,100,40,40.0,55,0,0.0,100,100,100,100,100,100,100,100,71,4,1,2,0,1
352,Ingeniería Civil Plan Común,88,85,0,0,100,50,100,60,0,100,75,60,100,100,0,100,0,0,0,96,0,0,100,0,0,90,42,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,61,11,1,2,0,1
353,Ingeniería Civil Plan Común,98,80,0,100,60,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,79,100,100,100,100,100,95.0,100,100,92.0,100,100,100,100,100,100,100,100,92,11,2,2,1,1
354,Ingeniería Civil Eléctrica,99,100,0,100,100,50,60,100,0,100,100,100,100,90,100,100,0,100,100,100,0,100,100,100,100,100,100,100,100,100.0,100,100,100.0,0,100,100,100,100,100,100,100,95,4,1,2,0,1
355,Ingeniería Civil Eléctrica,100,100,0,100,100,100,100,80,80,100,75,100,100,100,100,100,100,100,100,87,100,100,100,100,100,100,100,100,100,100.0,100,100,95.0,100,100,100,100,100,100,100,100,99,4,1,2,0,1
356,Ingeniería Civil Metalúrgica,75,95,0,100,0,100,40,80,60,80,50,80,100,100,100,100,100,100,100,100,100,100,100,84,0,100,100,100,100,100.0,0,100,0.0,100,100,100,100,0,100,100,0,79,10,1,2,1,1
357,Ingeniería Civil Plan Común,98,80,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,0.0,100,100,100,100,100,100,100,100,93,11,2,2,0,1
358,Ingeniería Civil Metalúrgica,87,75,0,100,100,100,60,100,60,100,100,100,100,100,0,100,0,0,100,100,100,0,100,100,95,53,85,100,100,45.0,80,52,32.0,0,100,0,100,100,100,0,100,80,10,1,2,0,1
359,Ingeniería Civil Metalúrgica,78,70,0,100,100,50,100,100,40,100,75,80,60,100,100,100,0,100,100,100,100,0,100,100,100,100,100,80,100,47.0,0,75,0.0,100,100,100,100,0,100,100,100,76,10,1,2,0,1
361,Ingeniería Civil Informática,70,70,0,100,100,100,80,100,40,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,10,100,90.0,62,85,65.0,100,100,0,0,0,100,100,100,76,7,1,2,1,1
362,Ingeniería Civil Plan Común,91,75,0,0,100,63,100,100,60,80,100,60,20,0,0,0,96,100,100,100,100,100,100,77,100,90,100,85,0,100.0,75,100,92.0,100,100,100,0,100,100,100,100,79,11,1,2,0,1
363,Ingeniería Civil Eléctrica,45,85,0,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,90,100.0,100,100,0.0,100,100,100,100,100,100,100,100,43,4,1,2,0,0
364,Ingeniería Civil Plan Común,100,100,0,100,100,0,100,100,80,100,100,100,60,94,91,100,100,100,100,100,100,100,85,100,100,100,100,100,0,100.0,100,100,100.0,100,100,100,0,100,100,100,100,85,11,1,2,0,1
365,Ingeniería Civil Plan Común,20,0,0,100,60,100,80,100,100,0,0,100,100,74,100,100,100,100,100,0,100,100,0,100,90,0,0,0,90,0.0,0,0,0.0,100,0,100,100,0,0,100,100,10,11,1,2,1,0
366,Ingeniería Civil Informática,100,95,0,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,92.0,100,100,100,100,100,100,100,100,98,7,1,2,1,1
367,Ingeniería Civil Plan Común,98,55,0,100,100,100,60,100,40,40,100,60,100,90,0,90,61,100,100,97,100,100,100,92,90,100,100,100,70,80.0,72,100,100.0,100,100,100,100,100,100,100,0,81,11,1,2,0,1
368,Ingeniería Civil Plan Común,48,80,80,100,100,100,100,100,80,100,100,100,100,0,93,100,0,100,100,0,100,0,100,85,100,100,100,75,90,60.0,100,100,100.0,100,100,100,100,100,100,100,100,86,11,1,2,0,1
369,Ingeniería Civil Plan Común,100,95,0,100,100,100,80,100,40,100,100,100,100,0,0,0,0,100,0,100,100,0,100,100,95,90,100,100,90,100.0,100,100,95.0,0,0,0,0,0,0,0,0,89,11,1,2,0,1
370,Ingeniería Civil Plan Común,95,60,0,100,100,100,80,100,100,80,50,100,100,94,0,0,93,99,99,0,98,0,98,95,100,100,100,95,100,95.0,80,100,67.0,100,100,0,0,100,100,100,100,82,11,1,2,1,1
371,Ingeniería Civil Plan Común,82,20,50,100,100,100,100,20,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,80,0.0,0,0,0.0,100,0,100,100,100,100,100,100,70,11,1,2,0,1
372,Ingeniería Civil Plan Común,100,65,0,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,91,11,2,2,0,1
373,Ingeniería Civil Eléctrica,89,75,0,100,100,100,100,80,60,80,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,90,0,100,100,85.0,90,100,84.0,0,100,100,100,100,100,100,100,77,4,1,2,0,1
374,Ingeniería Civil Eléctrica,76,70,0,0,20,100,60,80,60,100,50,100,100,86,53,95,91,100,75,100,100,100,100,87,100,90,100,90,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,79,4,1,2,0,1
375,Ingeniería Civil Eléctrica,75,35,50,100,100,100,60,80,80,100,0,100,100,100,100,100,0,0,81,0,0,100,0,92,100,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,40,4,1,2,0,0
376,Ingeniería Civil Plan Común,87,45,0,100,100,100,60,40,20,100,75,20,100,69,0,78,0,51,0,21,0,0,83,100,100,100,100,100,0,30.0,100,100,90.0,100,100,100,100,100,100,100,100,62,11,1,2,0,1
377,Ingeniería Civil Plan Común,77,85,0,100,100,100,80,60,80,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,90,100.0,100,100,100.0,100,0,100,100,0,100,100,100,86,11,1,2,0,1
378,Ingeniería Civil Metalúrgica,100,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,50,10,1,2,0,0
379,Ingeniería Civil Plan Común,90,65,0,0,100,100,80,100,100,80,75,100,100,100,0,100,100,98,100,91,100,0,100,66,92,63,100,100,80,70.0,80,100,52.0,100,100,100,100,100,100,100,100,81,11,1,2,0,1
380,Ingeniería Civil Metalúrgica,86,25,0,100,60,100,20,0,20,0,0,0,0,100,0,0,0,0,0,0,0,0,0,87,0,95,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,38,10,1,2,0,0
381,Ingeniería Civil Metalúrgica,100,0,0,100,100,100,80,100,40,100,100,80,100,84,100,100,89,100,100,100,100,100,100,92,100,100,100,67,100,100.0,100,0,90.0,100,100,100,100,0,100,100,100,50,10,1,2,1,0
382,Ingeniería Civil Plan Común,45,10,80,100,100,50,100,20,40,100,75,100,40,100,100,100,100,100,100,100,100,100,100,100,100,90,100,90,100,80.0,0,82,70.0,100,100,100,100,100,100,100,100,64,11,1,2,0,1
383,Ingeniería Civil Metalúrgica,95,45,0,100,100,100,80,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,100,75,92,85,100,90.0,90,35,49.0,100,100,100,100,100,100,100,100,79,10,1,2,1,1
384,Ingeniería Civil Plan Común,82,100,0,100,100,100,100,100,100,100,100,100,40,100,0,100,100,100,100,100,100,100,100,95,100,90,100,95,100,100.0,72,100,100.0,100,100,100,100,100,100,100,100,93,11,2,2,0,1
385,Ingeniería Civil Plan Común,18,0,0,100,100,75,100,100,40,100,75,60,100,100,0,100,94,100,97,100,100,100,100,92,82,100,87,25,80,0.0,0,85,0.0,0,0,0,0,0,0,0,0,9,11,1,2,1,0
386,Ingeniería Civil Informática,98,75,0,100,100,100,60,80,80,100,100,100,100,100,0,100,100,0,100,0,100,44,100,95,100,100,95,100,40,70.0,65,100,57.0,0,100,100,100,100,100,100,100,86,7,1,2,0,1
387,Ingeniería Civil Plan Común,20,20,35,100,100,100,100,100,20,0,75,100,0,100,0,0,0,0,0,0,0,88,100,66,70,48,65,10,0,45.0,100,100,100.0,0,0,0,0,0,0,0,0,28,11,1,2,1,0
388,Ingeniería Civil Metalúrgica,92,80,0,0,100,63,100,100,60,100,100,40,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,90,80,75.0,0,100,60.0,0,0,0,0,0,100,0,0,75,10,1,2,1,1
389,Ingeniería Civil Plan Común,100,40,0,100,100,100,80,100,40,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100.0,100,100,0.0,100,100,100,100,100,100,100,100,79,11,1,2,1,1
390,Ingeniería Civil Informática,89,95,0,0,100,50,20,100,60,100,100,100,100,100,83,0,56,0,77,0,0,0,0,100,100,95,100,0,90,45.0,80,100,92.0,0,0,0,0,0,0,0,0,78,7,1,2,0,1
391,Ingeniería Civil Plan Común,100,40,0,100,100,100,80,60,20,100,100,20,100,0,0,100,100,100,100,95,100,97,0,92,100,0,100,100,100,65.0,45,80,77.0,100,100,0,100,100,0,100,100,65,11,1,2,0,1
392,Ingeniería Comercial,84,0,0,100,100,63,100,100,100,100,100,100,100,100,0,100,100,0,100,98,100,100,100,95,100,100,100,100,100,80.0,47,100,0.0,100,100,100,100,100,0,100,100,42,14,2,2,1,0
393,Ingeniería Civil Plan Común,73,100,100,100,100,100,80,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,90,100,100,70,0.0,0,0,0.0,100,100,0,100,100,100,100,100,83,11,1,2,0,1
394,Ingeniería Civil Plan Común,64,35,65,100,100,100,80,60,40,100,75,100,60,81,59,80,66,90,52,76,100,100,100,100,100,100,100,95,80,62.0,62,100,0.0,100,100,0,100,100,100,100,100,73,11,1,2,1,1
395,Ingeniería Civil Informática,100,100,0,0,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,95,100,100,100,100,100,100.0,100,100,95.0,100,100,100,100,100,100,100,100,93,7,1,2,0,1
396,Ingeniería Civil Eléctrica,48,95,0,100,100,100,60,100,40,60,100,100,100,100,98,100,100,0,100,90,100,100,100,95,100,90,100,25,100,45.0,0,55,55.0,100,100,0,100,100,0,100,100,68,4,1,2,0,1
397,Ingeniería Civil Plan Común,0,90,90,100,0,100,100,100,80,0,0,40,0,100,95,100,100,0,100,0,0,92,0,100,100,23,0,0,0,0.0,0,0,0.0,0,0,0,100,0,0,100,100,62,11,1,2,0,1
398,Ingeniería Civil Eléctrica,98,60,0,100,100,50,60,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100.0,90,100,100.0,100,100,100,100,100,100,100,100,87,4,1,2,0,1
399,Ingeniería Civil Plan Común,100,10,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,95,90,100,100,90,35.0,25,60,0.0,100,100,100,100,100,100,100,100,71,11,1,2,0,1
400,Ingeniería Civil Plan Común,90,70,0,100,100,100,100,100,60,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,85,55,65.0,0,100,32.0,100,100,100,100,100,100,100,100,84,11,1,2,0,1
401,Ingeniería Civil Plan Común,83,95,0,0,0,75,0,100,60,80,75,100,100,82,0,0,0,87,80,76,0,81,0,100,100,100,100,100,0,100.0,100,100,87.0,0,100,0,100,0,0,100,100,70,11,0,2,0,1
402,Ingeniería Civil Plan Común,100,100,0,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,0,100,100,70.0,80,100,92.0,100,100,100,100,100,100,100,100,86,11,1,2,0,1
403,Ingeniería Civil Metalúrgica,84,40,0,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,80.0,0,100,39.0,100,0,100,100,100,100,0,100,76,10,1,2,0,1
404,Ingeniería Civil Eléctrica,100,90,0,100,100,100,100,100,80,80,100,100,100,100,100,100,100,100,100,100,100,95,100,100,90,100,100,100,100,95.0,100,100,95.0,100,0,100,100,100,100,100,100,96,4,1,2,0,1
405,Ingeniería Civil Informática,83,25,40,100,100,0,0,0,60,0,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,22,0,40.0,0,0,0.0,100,100,100,100,100,100,100,100,61,7,1,2,0,1
406,Ingeniería Civil Metalúrgica,92,0,0,0,100,100,60,100,0,100,0,40,100,0,0,0,0,0,0,0,0,0,0,92,0,90,100,75,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,46,10,1,2,1,0
407,Ingeniería Civil Plan Común,97,100,0,100,100,100,80,100,80,100,75,100,100,100,100,100,100,0,100,0,0,0,100,100,100,100,100,100,100,90.0,92,0,92.0,100,100,100,100,100,100,100,100,85,11,1,2,0,1
408,Ingeniería Civil Plan Común,95,65,0,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,92,0,0.0,100,100,0,100,100,100,100,100,85,11,1,2,0,1
409,Ingeniería Civil Metalúrgica,100,20,55,0,60,100,100,80,40,100,75,100,60,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,55.0,100,100,100,100,100,100,100,100,82,10,1,2,0,1
410,Ingeniería Civil Metalúrgica,100,100,0,100,60,100,60,100,60,100,100,40,100,100,100,100,47,100,100,92,100,100,100,100,100,100,100,100,90,100.0,90,100,62.0,100,100,100,100,100,100,100,100,95,10,1,2,1,1
411,Ingeniería Civil Plan Común,100,45,0,100,40,50,0,80,60,60,100,100,0,91,76,0,0,77,0,0,100,91,84,90,100,100,100,0,0,100.0,80,100,77.0,100,100,100,100,100,100,100,100,63,11,1,2,0,1
412,Ingeniería Civil Informática,96,0,20,0,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,0,100,0,100,100.0,0,0,0.0,0,0,0,0,0,0,100,0,44,7,1,2,1,0
413,Ingeniería Civil Informática,98,100,0,100,100,100,80,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100.0,100,100,100.0,100,100,100,100,100,100,100,100,98,7,1,2,0,1
414,Ingeniería Civil Plan Común,100,40,0,0,100,100,60,60,100,100,100,100,60,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,90,100.0,0,0,85.0,100,100,0,100,100,100,0,100,74,11,1,2,0,1
415,Ingeniería Civil Plan Común,71,20,75,100,20,100,40,100,40,100,100,60,60,100,100,100,83,100,97,100,98,98,100,100,95,80,80,25,80,70.0,72,92,70.0,100,100,100,100,100,100,100,100,76,11,1,2,0,1
416,Ingeniería Civil Plan Común,98,100,0,100,100,100,60,100,40,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,63,100,100,100,100.0,100,100,25.0,100,100,100,100,100,100,100,100,94,11,1,2,0,1
417,Ingeniería Civil Metalúrgica,92,35,0,0,60,100,100,80,80,80,100,100,40,100,100,100,0,100,88,0,95,100,100,100,100,90,92,65,90,92.0,22,70,100.0,100,100,100,0,100,100,100,100,72,10,1,2,0,1
418,Ingeniería Civil Plan Común,84,0,50,100,100,100,0,80,60,60,50,80,100,100,100,100,100,0,100,0,100,100,100,92,95,90,100,0,75,45.0,0,0,0.0,100,100,0,0,0,100,0,0,45,11,1,2,0,0
420,Ingeniería Civil Informática,100,100,0,100,60,100,100,100,40,100,100,100,100,81,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100.0,100,100,92.0,100,0,100,100,100,100,100,100,97,7,1,2,0,1
421,Ingeniería Civil Plan Común,33,70,65,100,100,63,100,20,80,0,75,0,100,81,85,90,89,81,100,0,0,86,71,92,100,60,100,0,80,0.0,100,50,0.0,100,0,0,100,100,0,100,100,65,11,1,2,0,1
422,Ingeniería Civil Plan Común,95,40,0,100,100,100,60,60,100,100,50,100,100,100,100,100,100,100,100,100,0,100,0,100,100,95,100,100,100,100.0,80,100,95.0,100,100,100,100,100,100,100,100,80,11,1,2,0,1
423,Ingeniería Civil Plan Común,60,0,0,100,100,0,40,100,100,100,100,20,0,100,100,100,0,100,94,95,0,0,0,100,100,0,59,0,0,0.0,0,0,0.0,0,0,0,0,100,100,100,100,3,11,1,2,0,0
425,Ingeniería Civil Informática,100,65,0,100,60,88,80,100,80,80,100,80,100,100,0,90,0,0,86,78,0,0,82,100,100,90,100,100,100,100.0,100,100,90.0,100,100,100,100,100,100,100,100,86,7,1,2,0,1
426,Ingeniería Civil Eléctrica,47,15,0,100,100,100,80,80,80,100,0,100,100,0,0,0,0,0,73,0,0,0,0,0,87,18,0,0,15,0.0,0,0,0.0,0,0,100,100,100,100,100,0,31,4,1,2,0,0
427,Ingeniería Civil Metalúrgica,73,50,80,0,60,100,60,60,40,60,0,20,60,100,0,0,0,0,100,0,100,100,0,65,0,0,46,0,25,15.0,32,0,0.0,0,0,0,0,0,0,0,0,53,10,1,2,0,0
