,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
27,Ingeniería Civil Plan Común,33,80,0,100,100,100,100,100,60,100,100,80,100,100,100,100,100,100,100,100,100,100,100,92,100,0,92,70,0,100.0,100,100,90.0,100,100,100,100,100,100,100,100,65,11,1,2,1,1
28,Ingeniería Civil Plan Común,87,0,0,100,100,100,40,60,40,40,0,0,0,100,100,0,100,99,0,0,0,0,92,92,95,75,0,80,0,0.0,35,0,0.0,0,0,0,0,0,0,0,0,44,11,1,2,0,0
29,Ingeniería Civil Metalúrgica,73,50,0,0,100,100,60,100,0,100,100,0,0,100,100,0,83,100,100,0,80,100,100,92,100,0,100,0,100,67.0,80,90,0.0,100,100,100,0,100,100,100,100,63,10,1,2,1,1
30,Ingeniería Civil Eléctrica,87,40,0,100,100,100,20,100,60,100,100,100,100,100,0,100,100,100,100,0,100,100,100,95,95,85,100,100,80,57.0,100,0,100.0,100,100,100,100,0,100,100,100,74,4,1,2,0,1
31,Ingeniería Civil Eléctrica,90,95,0,100,20,100,100,100,40,60,100,100,60,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,80.0,80,92,100.0,100,0,100,100,100,100,100,100,91,4,1,2,0,1
32,Ingeniería Civil Metalúrgica,68,50,0,100,60,50,60,80,60,100,75,60,60,100,0,100,100,0,100,0,100,100,100,85,100,100,95,90,80,100.0,87,100,100.0,100,100,0,100,100,100,100,100,70,10,1,2,1,1
33,Ingeniería Civil Informática,96,75,0,100,100,100,80,100,100,100,100,80,100,100,100,100,100,100,100,100,0,100,100,92,100,100,90,100,100,100.0,100,100,100.0,100,100,100,100,100,100,0,100,91,7,1,2,0,1
34,Ingeniería Civil Plan Común,98,90,0,100,60,100,80,100,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,100,100,100.0,80,100,100.0,100,100,100,100,100,100,100,100,93,11,2,2,0,1
35,Ingeniería Civil Plan Común,58,75,0,100,60,100,80,0,60,40,50,0,60,94,100,0,91,0,0,0,0,0,0,92,100,90,92,100,80,37.0,0,100,22.0,0,0,100,0,0,0,0,0,61,11,1,2,0,1
36,Ingeniería Civil Informática,100,95,0,100,100,100,60,100,100,100,100,100,100,100,83,100,96,100,100,100,100,0,100,100,95,85,100,100,90,100.0,100,100,100.0,100,100,100,100,100,100,100,100,97,7,1,2,0,1
