Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Plan Común,1,1,1,4,1,4,1,4,3,4,1,1,4,4,0,4,0,0,3,1,0,0,0,4,4,4,4,4,0,1,4,3,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,11,1,0,1,0
Ingeniería Civil Informática,2,4,0,4,1,4,4,4,3,4,4,4,4,4,4,0,3,4,0,0,3,4,0,4,4,4,4,4,4,4,4,0,4,4.0,3.0,0.0,4.0,0.0,1.0,0.0,4.0,76,0,0,7,1,0,1,1
Ingeniería Civil,1,1,1,4,4,4,4,4,4,4,4,1,3,4,0,4,4,4,4,4,4,0,0,4,4,4,4,4,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,37,0,0,1,1,1,1,0
Ingeniería Civil Matemática,4,4,0,0,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,94,0,0,8,1,1,1,1
Ingeniería Civil Informática,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,1,2,4,4,2,4.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,69,0,0,7,1,1,1,1
Ingeniería Civil Metalúrgica,1,0,0,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,4,0,0,0,0,3,4,4,2,4,0,0,4,0,0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,18,0,0,10,1,0,1,0
Ingeniería Civil Mecánica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,98,0,0,9,1,0,1,1
Ingeniería Civil,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,98,0,0,1,1,0,1,1
Ingeniería Civil Metalúrgica,4,1,0,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,1,0,0,0,0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,65,0,0,10,1,0,1,1
Ingeniería Civil,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43,0,0,1,1,1,1,0
Ingeniería Civil,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0
Ingeniería Civil Mecánica,1,4,0,4,1,0,1,2,3,1,1,0,1,4,4,0,4,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,65,0,0,9,1,1,1,1
Ingeniería Civil Mecánica,1,4,0,4,4,4,2,4,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,63,0,0,9,1,0,1,1
Ingeniería Civil Informática,1,0,1,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,1,0,3,4,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,38,0,0,7,1,0,1,0
Ingeniería Civil Informática,4,2,0,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,0,4,4,0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,69,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,0,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,88,0,0,7,1,0,1,1
Ingeniería Civil,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,0,4,0,0,4,4,4,4,4,0,0,0,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,75,0,0,1,1,0,1,1
Ingeniería Civil Matemática,2,2,4,4,4,0,4,2,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,73,0,0,8,1,0,1,1
Ingeniería Civil,0,1,0,0,1,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,1,0,1,0
Ingeniería Civil Plan Común,2,4,4,4,0,0,4,0,0,1,0,0,0,4,4,0,4,4,0,4,4,3,0,4,4,4,4,0,0,0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0,11,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,4,4,4,4,4,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,95,0,0,9,1,0,1,1
Ingeniería Civil Informática,4,4,0,0,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,96,0,0,7,1,0,1,1
