Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
Ingeniería Civil Industrial,0,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0
Ingeniería en Aviación Comercial,2,4,0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,81,15,2,1,1,1
Ingeniería en Aviación Comercial,1,0,0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,3,1,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,15,2,1,0,0
Ingeniería Civil Industrial,2,1,1,4.0,0.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4,4,4,2,4,0,0,2,4,0,4,0,0,4,0,0,0,0,38,6,2,1,1,0
Ingeniería en Aviación Comercial,1,1,0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,0,4,4,0,1,4,4,4,0,0,0,0,0,0,0,0,35,15,2,1,0,0
Ingeniería en Aviación Comercial,1,4,0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1,4,4,4,4,2,4,1,4,4,1,0,0,0,0,0,0,0,66,15,2,1,1,1
Ingeniería en Aviación Comercial,1,0,4,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,47,15,2,1,1,0
Ingeniería en Aviación Comercial,2,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,0,79,15,2,1,0,1
Ingeniería Civil Industrial,1,0,0,4.0,4.0,0.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4,4,4,0,4,1,1,0,0,4,0,0,0,0,0,0,0,0,10,6,2,1,1,0
Ingeniería en Aviación Comercial,0,0,0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,1,0,0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,4,0,0,0,0,0,4,1,1,0,2,0,0,0,13,15,2,1,0,0
Ingeniería en Aviación Comercial,1,4,0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,79,15,2,1,0,1
Ingeniería en Aviación Comercial,1,0,0,4.0,1.0,4.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,16,15,2,1,1,0
Ingeniería Civil Industrial,1,4,0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,82,6,2,1,1,1
Ingeniería en Aviación Comercial,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,86,15,2,1,0,1
Ingeniería en Aviación Comercial,1,1,1,4.0,1.0,0.0,4.0,2.0,4.0,1.0,2.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,25,15,2,1,0,0
Ingeniería en Aviación Comercial,3,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78,15,2,1,0,1
Ingeniería Civil Industrial,1,4,0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,75,6,2,1,1,1
Ingeniería en Aviación Comercial,1,4,0,4.0,3.0,0.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,0,1,0,4,0,4,4,4,71,15,2,1,0,1
Ingeniería en Aviación Comercial,1,0,0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,4,4,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,12,15,2,1,0,0
Ingeniería en Aviación Comercial,1,4,0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,4.0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,77,15,2,1,1,1
Ingeniería en Aviación Comercial,0,0,0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,4,0,0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,35,15,2,1,1,0
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0
Ingeniería en Aviación Comercial,3,4,0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,78,15,2,1,1,1
Ingeniería en Aviación Comercial,3,0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,74,15,2,1,1,1
Ingeniería en Aviación Comercial,2,0,0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,0,4,25,15,2,1,0,0
Ingeniería en Aviación Comercial,3,3,0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,0,1,4,4,4,1,4,74,15,2,1,0,1
Ingeniería en Aviación Comercial,3,1,0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,38,15,2,1,0,0
Ingeniería en Aviación Comercial,1,4,0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,15,2,1,0,1
Ingeniería en Aviación Comercial,2,3,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,75,15,2,1,0,1
Ingeniería en Aviación Comercial,4,4,0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,83,15,2,1,0,1
Ingeniería en Aviación Comercial,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,98,15,2,1,1,1
