Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil,45,75,-,10,10,10,8,7.5,10,8,7.5,4,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,25,36,100,0,65,,,,,,,,,70,0,0,1,0,0,1,1
Ingeniería Civil Informática,70,100,-,10,10,10,4,10,8,10,10,6,10,100,100,100,100,68,100,96,-,100,100,100,100,100,100,100,100,100,0,100,100,,,,,,,,,87,0,0,7,0,0,1,1
Ingeniería Civil Mecánica,100,100,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,100,0,0,9,0,1,1,1
Lic. en Astrofísica,100,100,-,10,10,10,8,10,10,10,10,8,10,100,100,100,100,100,100,-,100,95,97,95,100,100,100,100,100,100,100,100,100,,,,,,,,,99,0,0,17,0,0,1,1
Ingeniería Civil Mecánica,65,100,-,10,6,10,10,10,8,10,10,8,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,90,100,100,100,100,,,,,,,,,90,0,0,9,0,0,1,1
Ingeniería Civil Electrónica,63,15,-,10,10,-,8,10,-,-,-,2,10,-,-,100,-,-,-,0,-,-,-,100,100,75,90,100,100,-,-,-,-,,,,,,,,,39,0,0,5,0,0,1,0
Ingeniería Civil,55,100,-,0,4,-,8,7.5,4,-,2.5,4,-,81,-,95,100,100,100,-,-,-,-,95,100,80,0,100,100,0,100,100,100,,,,,,,,,63,0,0,1,0,0,1,1
Ingeniería Civil Informática,88,100,-,10,10,10,4,10,10,10,10,8,4,100,100,100,100,100,100,100,-,100,-,95,100,100,100,100,100,100,90,100,75,,,,,,,,,92,0,0,7,0,0,1,1
Ingeniería Civil Plan Común,-,0,-,0,2,0,-,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,-,-,-,-,-,,,,,,,,,0,0,0,11,0,0,1,0
Ingeniería Civil,30,40,85,0,2,10,8,7.5,8,10,7.5,2,10,92,-,85,0,66,100,100,100,100,-,95,0,95,55,95,100,100,100,0,65,,,,,,,,,63,0,0,1,0,0,1,1
Ingeniería Civil,45,0,-,10,10,10,6,2.5,10,8,2.5,-,10,91,-,95,100,97,100,100,100,100,100,100,100,90,100,100,100,95,100,80,100,,,,,,,,,23,0,0,1,0,0,1,0
