Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Mecánica,60,25,95,10,10,10,10,10,6,10,10,8,10,-,-,100,71,70,0,96,100,100,100,75,100,95,100,100,0,0,85,0,0,,,,,,,,,72,0,0,9,1,0,1,1
Ingeniería Civil Metalúrgica,43,0,85,10,10,10,8,7.5,10,8,10,2,6,100,100,100,0,92,100,100,100,98,98,95,100,85,100,90,0,63,100,90,100,,,,,,,,,43,0,0,10,1,0,1,0
Ingeniería Civil Informática,100,95,-,10,10,10,8,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,,,,,,,,,99,0,0,7,1,0,1,1
Ingeniería Civil Informática,50,85,-,10,6,10,10,7.5,10,6,5,6,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,75,85,,,,,,,,,78,0,0,7,1,0,1,1
Ingeniería Civil Metalúrgica,95,95,-,10,10,10,10,7.5,10,10,10,8,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,0,,,,,,,,,94,0,0,10,1,0,1,1
Ingeniería Civil,0,0,-,-,-,-,4,0,6,0,-,2,6,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,1,1,1,1,0
Ingeniería Civil Informática,63,95,-,10,10,10,8,7.5,6,10,10,10,10,100,100,100,100,100,100,100,100,94,100,95,100,100,100,95,100,100,75,100,100,,,,,,,,,87,0,0,7,1,1,1,1
Ingeniería Civil Matemática,65,80,-,10,4,10,8,7.5,6,10,10,2,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,90,100,95,100,95,,,,,,,,,82,0,0,8,1,0,1,1
Ingeniería Civil Informática,100,0,60,10,10,10,6,10,6,6.67,10,8,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,85,100,,,,,,,,,53,0,0,7,1,0,1,0
Ingeniería Civil Plan Común,25,45,5,10,4,10,4,7.5,6,10,2.5,2,10,90,-,100,-,0,61,33,-,-,-,95,95,90,100,100,0,31,100,60,0,,,,,,,,,25,0,0,11,1,0,1,0
Ingeniería Civil Informática,53,95,-,10,4,10,10,10,6,8,10,8,10,90,88,-,59,86,0,0,65,73,0,85,100,90,100,100,100,100,70,0,100,,,,,,,,,76,0,0,7,1,0,1,1
Ingeniería Civil,43,40,30,10,10,10,8,7.5,8,10,7.5,4,6,100,-,100,100,100,100,100,100,-,-,75,100,100,100,100,20,0,0,0,0,,,,,,,,,37,0,0,1,1,1,1,0
Ingeniería Civil Matemática,89,100,-,0,10,10,10,10,6,10,10,6,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,94,0,0,8,1,1,1,1
Ingeniería Civil Informática,44,65,-,10,10,10,10,7.5,8,10,10,8,10,100,100,100,100,100,100,100,100,100,100,60,100,35,65,95,25,50,100,95,50,,,,,,,,,69,0,0,7,1,1,1,1
Ingeniería Civil Metalúrgica,35,0,-,10,10,10,10,10,8,8.33,10,-,10,-,-,-,-,100,100,-,-,-,-,60,90,75,50,100,0,-,90,-,-,,,,,,,,,18,0,0,10,1,0,1,0
Ingeniería Civil Mecánica,100,90,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,98,0,0,9,1,0,1,1
Ingeniería Civil,100,100,-,10,10,10,10,10,10,10,10,10,10,100,100,100,-,92,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,,,,,,,,,98,0,0,1,1,0,1,1
Ingeniería Civil Metalúrgica,70,45,-,10,10,10,10,10,10,10,10,4,4,100,100,100,100,100,100,100,-,100,94,95,100,100,100,100,35,0,0,0,0,,,,,,,,,65,0,0,10,1,0,1,1
Ingeniería Civil,-,85,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,80,,,,,,,,,43,0,0,1,1,1,1,0
Ingeniería Civil,-,0,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,0,-,-,-,,,,,,,,,0,0,0,1,1,1,1,0
Ingeniería Civil Mecánica,42,75,-,10,4,0,2,5,6,4,2,0,4,100,100,-,100,-,100,100,-,-,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,65,0,0,9,1,1,1,1
Ingeniería Civil Mecánica,31,85,-,10,10,10,5,7.5,2,1.67,5,2,4,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,0,65,0,,,,,,,,,63,0,0,9,1,0,1,1
Ingeniería Civil Informática,45,0,30,10,6,10,7.5,10,6,10,10,6,10,86,94,75,75,98,100,100,100,100,0,95,100,100,100,100,0,45,0,60,75,,,,,,,,,38,0,0,7,1,0,1,0
