C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sexo,Sem,Apr,labels
50.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,60.0,80.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,0.0,100.0,81.0,9,0.0,0,1.0,1,4
20.0,60.0,70.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,34.0,100.0,51.0,76.0,7,0.0,0,1.0,1,3
2.0,0.0,0.0,0.0,100.0,0.0,60.0,75.0,60.0,20.0,20.0,0.0,0.0,71.0,69.0,79.0,49.0,38.0,0.0,0.0,20.0,0.0,0.0,0.0,95.0,100.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0,1,1.0,0,0
98.0,100.0,0.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,7,0.0,0,1.0,1,2
95.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,100.0,80.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,85.0,100.0,99.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,6,0.0,0,2.0,1,3
80.0,70.0,0.0,100.0,100.0,100.0,100.0,75.0,80.0,80.0,67.0,100.0,100.0,100.0,100.0,95.0,85.0,82.0,0.0,0.0,0.0,0.0,66.0,0.0,100.0,95.0,0.0,90.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,14,0.0,1,2.0,1,1
75.0,35.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,75.0,18,0.0,0,2.0,1,4
35.0,100.0,0.0,100.0,100.0,30.0,25.0,50.0,60.0,60.0,50.0,40.0,100.0,100.0,82.0,89.0,73.0,67.0,0.0,53.0,100.0,88.0,0.0,100.0,100.0,85.0,0.0,60.0,100.0,40.0,100.0,90.0,100.0,100.0,80.0,100.0,66.0,100.0,0.0,0.0,100.0,68.0,2,0.0,1,2.0,1,3
39.0,55.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,90.0,0.0,95.0,0.0,100.0,90.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,6,0.0,0,2.0,0,3
55.0,80.0,0.0,100.0,60.0,100.0,60.0,75.0,80.0,83.3,100.0,60.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,7,0.0,1,1.0,1,3
